; Date generated Fri Jun 30 16:10:35 2023
; 
;   Solar Spectral Irradiance from 
;   NASA SDO EVE Rocket 36.353 Results
;     MEGS-A and B Combined Spectrum
;     Sept 9, 2021
; ------------------------------------
;     Don Woodraska, Brian Templeman, Phil Chamberlin,
;     Tom Woods, Frank Eparvier, Andrew Jones
; 
;  This spectrum spans the EUV from approximately 6 to 105 nm.
; 
; *****
; ***** WARNING: THIS IS PRELIMINARY DATA - DO NOT PUBLISH
; *****
; ***** WARNING: This data is not ready for publication and may change.
; *****
; ***** WARNING: Uncertainties are underestimated!
; *****
; 
;  Applied calibration from SURF 2017
;  Applied NRL-MSIS00E atmospheric correction, about 3% at 30.4 nm
; 
;  MEGS-A slit 1 wavelength range is 0.01 nm sampling from 6-14.93 nm
;  MEGS-A slit 2 wavelength range is 0.01 nm sampling from 14.93-37.0000 nm
;  MEGS-B wavelength range is 0.02 nm sampling from 37.0000-105 nm
;  MEGS-B used 2017 380MeV scaled to 2010 ratio of 140/380MeV
;  MEGS-A1 used 2017 285MeV adjusted for 3_7
;  MEGS-A2 used 2017 140MeV
; 
; *** pointing was not updated for this flight ***
; 
; Version 1_1
; 
;  Day of year=252
;  Lyman-alpha composite v4=6.48e-3 W/m^2
; 
;  F10=101.100, <F10>81day=88.0000
; 
;  Applied 1-AU adjustment 0.985890
; 
;  Solar zenith angle (deg) 31.0500
; 
;  Apogee(km)=293.98
;  at T+280.05 seconds
; MEGS-A Slit 1 to slit 2 crossover occurs at 14.93nm
; MEGS-A Slit 2 to MEGS-B crossover occurs at 37.0000nm
; 
FORMAT = (f7.3,e13.6,f7.3)
 6499 lines
 3 columns : wavelength (nm), irradiance (W/m^2/nm), relative uncertainty (fraction)
  6.010 4.221896e-05  0.282
  6.020 5.135351e-05  0.207
  6.030 5.948454e-05  0.204
  6.040 6.317476e-05  0.204
  6.050 6.856318e-05  0.206
  6.060 7.118410e-05  0.198
  6.070 7.410263e-05  0.180
  6.080 7.626633e-05  0.169
  6.090 7.897164e-05  0.143
  6.100 7.562722e-05  0.150
  6.110 7.033586e-05  0.173
  6.120 6.697132e-05  0.180
  6.130 6.687627e-05  0.170
  6.140 6.692291e-05  0.167
  6.150 6.323267e-05  0.168
  6.160 6.070970e-05  0.173
  6.170 5.954136e-05  0.165
  6.180 5.827795e-05  0.163
  6.190 5.813534e-05  0.163
  6.200 5.770321e-05  0.159
  6.210 5.828735e-05  0.161
  6.220 6.284200e-05  0.154
  6.230 6.875979e-05  0.137
  6.240 7.327222e-05  0.140
  6.250 7.766470e-05  0.147
  6.260 8.098288e-05  0.143
  6.270 8.420921e-05  0.150
  6.280 8.672622e-05  0.153
  6.290 8.627475e-05  0.154
  6.300 8.536248e-05  0.150
  6.310 8.297939e-05  0.147
  6.320 7.826602e-05  0.146
  6.330 7.318744e-05  0.143
  6.340 6.894314e-05  0.139
  6.350 6.313528e-05  0.143
  6.360 5.744856e-05  0.141
  6.370 5.414420e-05  0.127
  6.380 4.919121e-05  0.125
  6.390 4.575956e-05  0.130
  6.400 4.317718e-05  0.144
  6.410 4.018847e-05  0.151
  6.420 4.051958e-05  0.148
  6.430 3.958879e-05  0.151
  6.440 3.681247e-05  0.151
  6.450 3.443170e-05  0.147
  6.460 3.305043e-05  0.143
  6.470 3.297143e-05  0.146
  6.480 3.399447e-05  0.139
  6.490 3.539121e-05  0.143
  6.500 3.686459e-05  0.150
  6.510 3.882521e-05  0.154
  6.520 4.217437e-05  0.153
  6.530 4.626105e-05  0.143
  6.540 5.021007e-05  0.132
  6.550 5.302341e-05  0.124
  6.560 5.432374e-05  0.124
  6.570 5.518320e-05  0.119
  6.580 5.576693e-05  0.119
  6.590 5.580840e-05  0.123
  6.600 5.448946e-05  0.124
  6.610 5.182723e-05  0.123
  6.620 4.826912e-05  0.128
  6.630 4.575008e-05  0.140
  6.640 4.567762e-05  0.139
  6.650 4.653463e-05  0.139
  6.660 4.850319e-05  0.134
  6.670 5.121200e-05  0.130
  6.680 5.332505e-05  0.128
  6.690 5.476093e-05  0.122
  6.700 5.568438e-05  0.118
  6.710 5.481979e-05  0.116
  6.720 5.227973e-05  0.116
  6.730 4.885677e-05  0.117
  6.740 4.359961e-05  0.124
  6.750 3.859417e-05  0.131
  6.760 3.377908e-05  0.130
  6.770 2.929483e-05  0.143
  6.780 2.653881e-05  0.152
  6.790 2.607085e-05  0.161
  6.800 2.606734e-05  0.151
  6.810 2.566816e-05  0.140
  6.820 2.448202e-05  0.145
  6.830 2.401469e-05  0.143
  6.840 2.428121e-05  0.136
  6.850 2.508665e-05  0.129
  6.860 2.665550e-05  0.124
  6.870 2.970271e-05  0.126
  6.880 3.435101e-05  0.128
  6.890 4.094975e-05  0.128
  6.900 4.987074e-05  0.122
  6.910 5.936100e-05  0.121
  6.920 6.906382e-05  0.118
  6.930 7.921045e-05  0.113
  6.940 8.704185e-05  0.111
  6.950 9.102146e-05  0.111
  6.960 9.219571e-05  0.110
  6.970 9.036908e-05  0.112
  6.980 8.590785e-05  0.116
  6.990 7.913273e-05  0.118
  7.000 7.157885e-05  0.118
  7.010 6.399655e-05  0.123
  7.020 5.796307e-05  0.123
  7.030 5.382864e-05  0.119
  7.040 5.076592e-05  0.116
  7.050 4.833432e-05  0.119
  7.060 4.661668e-05  0.121
  7.070 4.510584e-05  0.117
  7.080 4.330853e-05  0.119
  7.090 4.137536e-05  0.121
  7.100 3.951104e-05  0.123
  7.110 3.808821e-05  0.121
  7.120 3.793386e-05  0.122
  7.130 3.858172e-05  0.124
